"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-05-01 ~ 2026-05-31"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"65","경기도 고양시 덕양구 토당동","840","0840","0000","개나리빌라","50.1000","29.9500","202605","31","34,500","2","개인","개인","1991","능곡로45번길 82","-","중개거래","경기 고양시 덕양구","-"
"66","서울특별시 중랑구 상봉동","125-25","0125","0025","미하우스","35.9650","20.8530","202605","31","34,800","4","개인","개인","2015","동일로110길 20","-","중개거래","서울 중랑구","-"
"67","서울특별시 관악구 신림동","354-14","0354","0014","화성빌라","48.6000","41.6700","202605","31","66,500","1","개인","개인","1989","양지11길 18","-","중개거래","서울 관악구","-"
"68","부산광역시 사하구 신평동","427","0427","0000","일천그린빌","78.9000","75.7330","202605","31","5,800","2","개인","개인","2002","비봉로 44","-","중개거래","부산 사하구","26.07.10"
"69","인천광역시 서해구 심곡동","325-25","0325","0025","신동아홈타운","49.6250","32.0242","202605","31","14,700","3","개인","개인","2016","승학로 261","-","중개거래","인천 서해구","26.07.10"
"70","경기도 의정부시 호원동","4-5","0004","0005","델프라임","53.9227","26.5415","202605","31","27,000","5","개인","개인","2022","회룡로117번길 56","-","중개거래","서울 강북구","26.07.13"
"71","서울특별시 서초구 방배동","878-17","0878","0017","(878-17)","31.2850","20.1200","202605","31","64,000","1","개인","개인","2018","서초대로29길 22-11","-","중개거래","서울 서초구","26.07.09"
"72","경기도 안산시 상록구 본오동","845-4","0845","0004","(845-4)","32.6700","16.5290","202605","31","7,600","2","개인","개인","2001","오목로11길 51","-","중개거래","경기 안산시 상록구","-"
"73","제주특별자치도 제주시 아라이동","1179","1179","0000","아라1차미다움","84.2925","143.3485","202605","31","28,500","2","개인","개인","2016","금월길 35","-","직거래","-","26.07.09"
"74","인천광역시 계양구 병방동","93-1","0093","0001","삼지주택(93-1)","41.9100","30.5800","202605","31","8,100","4","개인","개인","1998","장제로946번길 16-4","-","중개거래","인천 계양구","26.07.06"
"75","경기도 의정부시 가능동","15-234","0015","0234","남성","60.6900","76.4500","202605","31","12,000","2","개인","개인","1981","태평로214번길 29-9","-","중개거래","경기 의정부시","-"
"76","서울특별시 관악구 신림동","1663-5","1663","0005","성일주택","53.0200","26.5350","202605","31","32,000","4","개인","개인","2001","시흥대로162길 10","-","중개거래","서울 관악구","-"
"77","인천광역시 남동구 구월동","1307-10","1307","0010","대원맨션(1동)","59.1100","25.0700","202605","31","12,800","3","개인","개인","2000","구월남로 320-1","-","중개거래","인천 남동구","26.07.06"
"78","서울특별시 용산구 용산동2가","5-1254","0005","1254","대용빌라","26.9600","15.2800","202605","31","21,500","1","개인","개인","2002","소월로30길 14","-","중개거래","서울 용산구","26.07.06"
"79","서울특별시 도봉구 창동","452-41","0452","0041","포레스트빌","49.7000","31.1000","202605","31","28,000","2","개인","개인","2018","덕릉로60아길 13-1","-","직거래","-","26.06.30"
"80","제주특별자치도 제주시 아라일동","2803","2803","0000","아라주원라비앙2차","81.6000","137.4693","202605","31","34,500","2","개인","개인","2018","아연로 522","-","중개거래","제주 제주시","-"
"81","경기도 안산시 상록구 본오동","981-8","0981","0008","코아빌(981-8)","65.8400","36.5327","202605","31","28,900","2","개인","법인","2025","고목로 49","-","직거래","-","26.06.30"
"82","경기도 부천시 원미구 춘의동","137-7","0137","0007","청담빌리지(137-7)","46.8900","28.7152","202605","31","23,900","5","개인","개인","2015","계남로301번길 66","-","중개거래","경기 부천시 원미구","26.06.30"
"83","인천광역시 검단구 마전동","1026-2","1026","0002","창우아이빌202동","60.9900","35.8856","202605","31","15,500","2","기타","개인","2011","완정로45번길 19","20260703","중개거래","인천 검단구","-"
"84","서울특별시 구로구 개봉동","264-14","0264","0014","원창아트빌2","82.9537","56.1390","202605","31","49,600","5","개인","개인","2020","개봉로12길 9-22","-","중개거래","서울 구로구","-"
"85","경기도 광주시 능평동","161-30","0161","0030","마크힐스(202동,203동)","68.6000","100.1250","202605","31","23,000","3","개인","개인","2018","오포로171번길 17-282","20260702","중개거래","인천 계양구","-"
"86","인천광역시 미추홀구 주안동","111-10","0111","0010","신안스카이뷰","51.5000","18.6600","202605","31","11,900","3","개인","개인","2011","주안중로50번길 17","-","중개거래","인천 남동구, 인천 미추홀구","26.06.26"
"87","인천광역시 서해구 가좌동","174-120","0174","0120","청민주택(174-120)","36.6900","20.6500","202605","31","3,500","-1","개인","개인","1990","건지로318번길 9","-","중개거래","인천 서해구","26.06.10"
"88","서울특별시 강동구 성내동","226-53","0226","0053","(226-53)","68.0000","36.6650","202605","31","40,000","3","개인","개인","2003","풍성로41길 16","-","중개거래","서울 강동구","-"
"89","서울특별시 동작구 사당동","303-21","0303","0021","휴먼넥스빌","83.4700","36.4600","202605","30","99,000","3","개인","개인","2010","남부순환로255다길 21","-","중개거래","서울 동작구","-"
"90","서울특별시 성북구 정릉동","716-21","0716","0021","태웅아트빌라","57.0700","32.2300","202605","30","25,000","4","개인","개인","1997","솔샘로7길 19","-","중개거래","서울 성북구","-"
"91","서울특별시 구로구 개봉동","349-9","0349","0009","태산무지개빌라(349-9)","73.6900","317.1000","202605","30","31,000","3","개인","개인","2007","개봉로11길 7-16","-","중개거래","서울 구로구","-"
"92","서울특별시 용산구 후암동","409-79","0409","0079","(409-79)","55.3800","26.6750","202605","30","73,000","1","개인","개인","2000","신흥로36가길 25","-","중개거래","서울 용산구","-"
"93","서울특별시 양천구 신정동","895-43","0895","0043","미림칸타빌1","29.7800","16.5210","202605","30","30,000","5","개인","개인","2018","목동로25길 8-1","-","중개거래","서울 양천구","-"
"94","서울특별시 영등포구 양평동5가","121-4","0121","0004","선유도리버빌B동","29.7100","18.1000","202605","30","33,000","2","개인","개인","2015","양평로24길 34","-","중개거래","서울 영등포구","26.06.25"
"95","서울특별시 동작구 상도동","290-52","0290","0052","영동맨숀","50.4900","30.5900","202605","30","72,000","4","개인","개인","1997","성대로6가길 73","-","중개거래","서울 동작구","26.06.25"
"96","강원특별자치도 원주시 단구동","686","0686","0000","보라매연립주택","66.0000","72.2222","202605","30","7,500","3","개인","개인","1984","단구로 304","-","직거래","-","26.06.23"
"97","서울특별시 금천구 독산동","147-35","0147","0035","참존트윈캐슬","29.9300","17.3200","202605","30","31,100","5","개인","개인","2026","시흥대로149길 51","-","직거래","-","26.06.23"
"98","부산광역시 기장군 기장읍 동부리","330-4","0330","0004","메리골드","67.7500","37.3700","202605","30","12,600","3","개인","개인","2012","차성동로 98-12","-","중개거래","부산 기장군","26.06.24"
"99","경기도 용인시 처인구 고림동","744-7","0744","0007","유엔화이트빌(가동나동)","53.0300","33.3674","202605","30","13,500","5","개인","개인","2015","고림로 102","-","중개거래","경기 용인시 처인구","26.06.23"
"100","경기도 광주시 경안동","419-2","0419","0002","태광아트빌","53.1600","44.5575","202605","30","25,300","3","개인","개인","2017","파발로59번길 19","-","중개거래","경기 광주시","-"
"101","경상북도 김천시 지좌동","234","0234","0000","도원빌라","76.5300","69.0000","202605","30","5,500","4","개인","개인","2003","배다리길 119-7","-","직거래","-","26.06.23"
"102","경기도 광주시 목현동","25-30","0025","0030","선우빌","49.0400","48.0631","202605","30","18,200","1","개인","개인","2017","이배재로 179-43","-","중개거래","경기 광주시, 경기 성남시 중원구","-"
"103","경기도 광주시 중대동","131-15","0131","0015","물빛타운(103동)","82.4400","92.6100","202605","30","38,000","2","개인","개인","2026","순암로 256-6","-","중개거래","경기 성남시 중원구","-"
"104","서울특별시 광진구 중곡동","133-21","0133","0021","준아트빌","72.4800","42.3700","202605","30","53,500","2","개인","개인","2008","천호대로117길 19","-","중개거래","서울 광진구","-"
"105","부산광역시 부산진구 초읍동","180-11","0180","0011","초읍미소빌리지","59.7600","36.4400","202605","30","18,500","3","개인","개인","2017","성지로114번길 15","-","중개거래","부산 부산진구","-"
"106","서울특별시 금천구 독산동","967-1","0967","0001","정우센스빌","69.4500","26.9400","202605","30","32,000","5","개인","개인","2001","시흥대로152길 8","-","중개거래","서울 금천구","-"
"107","경기도 안산시 상록구 본오동","839-11","0839","0011","현대빌라(839-11)","77.8000","48.1000","202605","30","13,700","2","개인","개인","2001","각골서로 14","-","중개거래","경기 안산시 상록구","26.06.22"
"108","서울특별시 광진구 자양동","647-13","0647","0013","신안팰리스(647-13)","41.0400","24.3000","202605","30","100,000","5","개인","개인","2016","뚝섬로52라길 32-5","-","중개거래","서울 광진구","26.06.19"
"109","경기도 시흥시 정왕동","2009-2","2009","0002","롯데샤인빌","58.3800","33.6900","202605","30","11,000","4","개인","개인","2009","오이도5길 8","-","중개거래","경기 시흥시","26.06.23"
"110","경기도 안산시 상록구 본오동","974-3","0974","0003","스카이드림빌","74.5800","33.9375","202605","30","15,000","3","개인","개인","2012","막고지3길 8-1","-","중개거래","경기 화성시 만세구","26.06.22"
"111","인천광역시 부평구 삼산동","67-21","0067","0021","다승프라임(104동)","59.4300","25.1500","202605","30","10,500","1","법인","개인","2002","장제로 411-11","-","중개거래","인천 부평구","26.06.19"
"112","서울특별시 송파구 석촌동","212-6","0212","0006","에비앙하우스1","28.6400","19.9300","202605","30","59,500","4","개인","개인","2018","백제고분로34길 14-8","-","중개거래","서울 송파구","-"
"113","서울특별시 영등포구 양평동4가","164","0164","0000","파크빌Ⅰ","30.0000","15.2000","202605","30","25,700","3","개인","개인","2010","선유로53길 15","-","중개거래","서울 영등포구","-"
"114","서울특별시 송파구 마천동","124-15","0124","0015","정문빌라트6차","63.1500","36.7200","202605","30","105,000","2","개인","개인","2005","거마로24길 20","-","중개거래","서울 송파구","-"
"115","서울특별시 강동구 명일동","132","0132","0000","RAUM132","29.2000","17.6350","202605","30","59,900","3","개인","법인","2026","동남로65길 12-13","-","직거래","-","-"
"116","경기도 이천시 신둔면 수광리","262-20","0262","0020","프리마빌(104동)","84.8800","108.9000","202605","30","37,000","3","개인","개인","2026","경충대로3150번길 108","-","직거래","-","26.06.22"
"117","서울특별시 광진구 자양동","227-113","0227","0113","경성홈타운(227-113)","27.7500","17.1000","202605","30","86,000","4","개인","개인","2017","자양번영로11길 10","-","중개거래","서울 용산구","-"
"118","서울특별시 서대문구 연희동","142-21","0142","0021","연희미다스파크","46.2200","19.4600","202605","30","46,500","2","개인","개인","2019","연희로 233","-","중개거래","서울 은평구","-"
"119","서울특별시 마포구 합정동","361-58","0361","0058","목련빌라(361-58)","34.5600","27.5000","202605","30","56,500","2","개인","개인","1989","독막로4길 27","-","중개거래","서울 마포구, 서울 서초구","-"
"120","서울특별시 성북구 장위동","233-154","0233","0154","대창빌라(다)동","54.4200","28.4000","202605","30","55,000","-1","개인","개인","1993","장월로11길 73","-","중개거래","서울 성북구","-"
"121","경기도 부천시 오정구 오정동","581-9","0581","0009","더에이치","59.6100","37.5460","202605","30","25,000","4","개인","개인","2020","부천로470번길 33","-","중개거래","경기 부천시 오정구","-"
"122","서울특별시 성북구 장위동","246-8","0246","0008","정원센트레빌2차","63.3400","28.7400","202605","30","75,000","4","개인","개인","2003","장월로8길 4","-","중개거래","경기 성남시 수정구, 서울 성북구","-"
"123","충청남도 당진시 고대면 용두리","649-5","0649","0005","고대그린빌리지","76.5000","74.0625","202605","30","6,500","2","개인","개인","1995","보덕포로 187-6","20260624","중개거래","충남 당진시","-"
"124","경기도 안산시 단원구 선부동","965-1","0965","0001","상진그린빌라","40.6800","46.3200","202605","30","17,000","1","개인","개인","1990","원선로북길 33","-","중개거래","경기 시흥시, 경기 안산시 단원구","-"
